word,Translation
والملابس,and clothes
المطرزة,embroidered
زاهية,Bright
والبنفسجي،,"And violet,"
ويتبادلان,and exchange
النكات,Jokes
والحوارات,And dialogues
تنضح,It exudes
بالحكمة,With wisdom
والمرح,and fun
يُضيء,It lights up
السماء,the sky
عرض,an offer
سماءٍ,The sky
حالكة،,"dark,"
واجها,Face them
معركة,battle
أشبه,More like
بالأساطير؛,With myths;
فاندلعت,So it broke out
اشتدّت,It intensified
وتداهمت,and continuation
العبارات,Phrases
الحادة,Acute
كالسيوف,Like swords
اللامعة،,"shiny,"
استعانا,Help us
بمثلٍ,In a similar way
قديمٍ,old
يقول,He says
"""من","""from"
وجد،,"found,"
وصل,receipt
فتراجع,So he backed off
وحلّت,And solved
السكينة,Nirvana
مرة,time
المُضيئة,Luminous
الأحداث،,"events,"
تبرز,Stand out
وتنوعها؛,and diversity;
تعددت,Multiple
اللقاءات,Encounters
المقاهي,Cafes
تعجّ,Bustling
المُرّة،,"bitterness,"
الزبائن,customers
كراسي,Chairs
متآكلة،,"corroded,"
يتبادلون,They exchange
والأساطير,And myths
يرويان,They tell
لبعضهما,for some
وجدهاتهما،,"And their grandmothers,"
تُقاس,Measured
بالدقائق,In minutes
والثواني،,"and secondly,"
الحكايات,Anecdotes
بمئات,In hundreds
الآحاد,Ones
والعشرات،,"And dozens,"
العشق,Love
الألف,A thousand
ومئات,And hundreds
السنين،,"The years,"
لتصبح,To become
تراثًا,Heritage
يعلّم,He teaches
الدهر,Eternity
فترة,a period
الشروق,sunrise
والغسق،,"and dusk,"
الخافتة,The dim
صدى,echo
المزدحم،,"crowded,"
يتأمل,He contemplates
وكأنّه,as if
لوحة,plate
فسيفسائية,Mosaic
تتكون,Composed
عناصر,Elements
الطبيعة؛,nature;
جبالٍ,mountains
شامخة,Standing tall
بأطرافها,With its limbs
والمنحنية،,"and curved,"
أنهار,Rivers
تتدفق,Flowing
بمياهها,With its waters
الباردة,Cold
والرطبة،,"And wet,"
كخيوط,Like threads
الفضة,Silver
يصفها,Describes it
الشعراء,Poets
نخطو,We step
عليها,On her
ليست,Not
مجرد,merely
مكان،,"place,"
كتاب,book
تنقش,Embossed
أقدامنا,Our feet
أسطر,lines
الإبداع,Creativity
وقد,And it has
أشار,He pointed out
شجرة,tree
زهرة,flower
عبقَ,fragrant
يُعلمنا,He teaches us
البقاء,Stay
سياقٍ,Context
يدور,Spin
غيرت,I changed
معالم,Milestones
يُناقش,Discussed
مفهوم,concept
الشبكات,networks
والهواتف,And phones
المحمولة,Portable
تُعلِمنا,You teach us
نرتبط,We relate
بالعالم,In the world
بأسره،,"the whole,"
حواسيبنا,Our computers
ولوحاتنا,And our faces
مرآةً,mirror
لعقولنا,For our minds
المبتكرة,Innovative
وتناول,and eat
موضوعات,Subjects
الذكاء,Intelligence
الاصطناعي,Artificial
والتقنيات,and techniques
النووية،,"nuclear,"
وما,gesticulate
يصاحبها,He accompanies her
أخلاقيات,Ethics
ومسؤوليات,And responsibilities
عصرٍ,era
تتلاطم,They collide
المعرفة,Knowledge
كأمواج,Like waves
الهائج,The berserker
يتسكعان,They hang out
تجتمع,You meet
الوجوه,Faces
المختلفة,different
والأسواق؛,And markets;
يركضون,They run
بخفةٍ,lightly
الأكشاك،,"kiosks,"
الشيوخ,The elders
يرسمون,They draw
وجوههم,Their faces
ملامح,features
وتراتيل,and passed away
لجن,mud
تسأل,she asks
بفضولٍ,Curiously
حادٍّ,sharp
"""كيف","""how"
ترون,You see
يا,or
تتشابك,Intertwine
مصائرنا,Our destinies
"القدر؟""","fate?"""
القدر,fate
ليس,not
إلا,unless
نسيجًا,Textile
تنسجها,Weave it
أيدينا،,"our hands,"
ونحن,And we
بدورنا,In turn
نبني,We build
مستقبلنا,Our future
خطوةٍ,step
نبضةٍ,A pulse
قلوبنا,Our hearts
مرت,It passed
وتوالت,and maintenance
الفصول,Chapters
الألوان؛,colors;
مارس,March
تتفتح,Blooming
وتنبعث,and release
روائحها,Its smells
يشدّ,hard
الهمم,Inspiration
برده,a slave
القارس،,"freezing,"
أشكالها؛,Its shapes;
العالية,The high
والهادئة،,"And quiet,"
الضحكات,Laughs
الطفولية,Childishness
والبكاء,and crying
المؤلم,Painful
الفاصلة,interval
الخيال,Imagination
والواقع،,"And reality,"
العربية,Arabic
دقة,accuracy
وإتقان؛,and mastery;
يُعلّمان,They teach
تعدّ,Count
الأساسية,Basic
يحتاجها,He needs it
متعلمٍ,learner
العريقة،,"ancient,"
طويل،,"long,"
قصير،,"short,"
ضخم،,"huge,"
سريع،,"fast,"
بطيء،,"slow,"
ساخن،,"hot,"
شاب،,"young man,"
عجوز،,"old person,"
جيد،,"good,"
سيء،,"bad,"
رطب،,"moist,"
جاف،,"dry,"
مريض،,"patient,"
صحي،,"healthy,"
مرتفع،,"high,"
جميل،,"Beautiful,"
قبيح،,"ugly,"
أصم،,"deaf,"
أعمى،,"blind,"
لطيف،,"nice,"
حقير،,"despicable,"
غني،,"rich,"
فقير،,"poor,"
سميك،,"thick,"
رقيق،,"delicate,"
غالي،,"beloved,"
رخيص،,"cheap,"
مسطح،,"flat,"
منحني،,"curve,"
ذكر،,"male,"
أنثى،,"feminine,"
محكم،,"tight,"
فضفاض،,"loose,"
عالي،,"High,"
ناعم،,"smooth,"
صلب،,"solid,"
عميق،,"deep,"
سطحي،,"surface,"
نظيف،,"clean,"
متسخ،,"dirty,"
ضعيف،,"weak,"
ميت،,"dead,"
حي،,"alive,"
ثقيل،,"heavy,"
خفيف،,"light,"
داكن،,"dark,"
فاتح،,"winner,"
نووي،,"nuclear,"
مشهور,famous
تناولا,Eat
الكلب،,"dog,"
القط،,"cat,"
السمك،,"fish,"
الطائر،,"The bird,"
البقرة،,"The cow,"
الخنزير،,"pig,"
الفأر،,"mouse,"
الحصان،,"horse,"
أجنحة,wings
الحرية,Freedom
عالمٍ,world
انطلقت,I set off
أذرعهم,Their arms
أمثالاً,Proverbs
تقليدية,Traditional
"""إذا","""if"
الكلام,Speech
فضة,silver
فالسكوت,Silence
"ذهب""،","gold"","
"و""الصبر",And “patience
"و""من","and ""I"
"حصد""","harvest"""
الأمثال,Proverbs
تخطّ,trespass
بأحرفها,With its letters
الدروس,Lessons
والحِكَم,And the ruling
والمعاناة,and suffering
والفرح,and joy
تطرق,Touched
تُعبر,You cross
التفاصيل؛,the details;
الأطعمة,foods
الشهية,Appetite
البيض,Eggs
والحساء,And soup
والكعك,And the cake
والدجاج,And chicken
ولحم,And meat
البقر,Cows
والبرتقال,And oranges
والموز,Walmoz
والليمون,the lemon
والذرة,And corn
والأرز,And rice
والزيت,and oil
والسميد،,"Walshmead,"
المشروبات,Drinks
كالقهوة،,"like coffee,"
الشاي،,"tea,"
النبيذ،,"wine,"
البيرة،,"beer,"
العصير،,"juice,"
الماء،,"water,"
والحليب,And milk
الأثاث,Furniture
والأدوات,And tools
المنزلية؛,household;
الطاولة،,"table,"
الكرسي،,"chair,"
السرير،,"bed,"
النافذة،,"window,"
الباب،,"the door,"
غرفة,room
النوم،,"sleep,"
المطبخ،,"the kitchen,"
الحمام،,"the bathroom,"
القلم،,"pen,"
الدفتر،,"notebook,"
الصورة،,"picture,"
الصابون،,"soap,"
الكتاب،,"book,"
الصفحة،,"page,"
المفتاح،,"key,"
اللوحة،,"painting,"
الرسالة،,"message,"
الورقة،,"paper,"
الأرضية،,"floor,"
السقف،,"ceiling,"
السطح،,"surface,"
المسبح،,"the swimming pool,"
القفل،,"lock,"
الهاتف،,"phone,"
الحديقة،,"garden,"
الفناء،,"courtyard,"
الإبرة،,"needle,"
الحقيبة،,"bag,"
الصندوق،,"the box,"
الهدية،,"the gift,"
البطاقة،,"card,"
الخاتم،,"The ring,"
الأداة,Tool
ولم,And why?
الوظائف,Jobs
والأدوار,And roles
المجتمع؛,the society;
ورشته,come
كفنان,As an artist
حرفي،,"verbatim,"
تحلم,You dream
تصبح,become
مهندسة,Engineer
معمارية,Architecture
تدمج,Merge
والتقليدية,And traditional
تصاميمها؛,Her designs;
وكانا,And they were
المعلمين,Teachers
والمحامين,And the lawyers
والأطباء,And doctors
والطلاب,and students
والسحرة,And witchcraft
النجاح,success
والإبداع,and creativity
يحلمون,They dream
بالعمل,By work
مشاريع,Projects
والتكنولوجيا،,"and technology,"
ويصنعون,We will do it
تحدٍ,challenge
لتعلم,To learn
حوارات,Dialogues
تشير,indicate
المنطق,Logic
والفلسفة,And philosophy
والرياضيات؛,and mathematics;
يقيسون,They measure
والأقدام,And the feet
والبوصات،,"And inches,"
ويرسمون,we are
الدوائر,Circles
والمربعات،,"and squares,"
ويحددون,And they will
والتواريخ,And dates
والأوزان,And weights
والزوايا,And the angles
صغير,small
الحي,The neighborhood
القديم،,"old,"
يتناقشان,They discuss
بعمق,Deeply
والزمان،,"And time,"
مستعرضين,Reviewers
الأوقات,The times
بتفصيل,In detail
العام,General
والشهر,Wallshahr
والأسبوع,and the week
واليوم,And today
والساعة,And the hour
والدقيقة,And the minute
والثانية,And the second
تداولا,Trade
الأسبوع,week
السبت،,"Saturday,"
وأشهر,And the most famous
ديسمبر،,"December,"
وأرقاماً,And numbers
تتراوح,Ranging
و100000،,"and 100000,"
وتطرقا,And they touched on
مفاهيم,Concepts
المليون,Million
والمليار,And the billionaire
والترتيب,And the arrangement
الأول,the first
والثاني,The second
والثالث,And the third
والرابع,And the fourth
المحادثات,Conversations
العميقة،,"deep,"
تخلو,Be free
أحاديثهما,Their conversations
إشارات,signals
بهما؛,With them;
يمتد,extends
كمرآةٍ,Like a mirror
عاكسة,Reflective
للألوان,for colors
والأخضر،,and green
الشامخة,The lofty one
تقصّ,Investigate
العصور،,"ages,"
الأنهار,Rivers
الجارية,The current one
إيقاع,rhythm
الغابات,Forests
الكثيفة,Dense
تخبئ,divide
المتساقطة,Fallen
تناولت,I had
حواراتهما,Their conversations
الطقس,the weather
والزمن؛,And time;
والظهيرة,And noon
والمساء,and evening
والليل،,good night
مواسم,Seasons
الصيف,summer
والربيع,and spring
والخريف,And autumn
والشتاء,And winter
تداخل,interference
مشهدٍ,Mashhad
فنيٍ,technical
متكامل،,"integrated,"
ليصل,To arrive
ذروة,climax
تمزج,Mix
الرومانسية,Romance
والمفارقات؛,And the paradoxes;
لحظاتٍ,moments
الدفء,Warmth
الحميم,Intimate
القصائد,Poems
والهمسات,Walhamsat
الندية،,"dew,"
أحيانٍ,Sometimes
مشاهد,viewer
وتحطم,And crash
جدران,Walls
الألم،,"pain,"
لتظهر,To appear
الدعابة,Humor
جرح,injury
سقوط,fall
للنهوض,for progress
شهدت,I witnessed
مواجهةً,Confrontation
مجموعة,group
المتشائمين,Pessimists
حاولوا,They tried
إفساد,Spoil
صفاء,fineness
اللحظات،,"moments,"
بثقةٍ,With confidence
وعزمٍ,And determination
تصديا,Save
لهم,to them
قائلين,Saying
تنكسر,It breaks
تشرق,It shines
كالنور,Like light
الظروف,Circumstances
الملحمة,The saga
العاطفية,Emotional
والمفعمة,And the full
بالتناقضات,With contradictions
صخب,hustle
وهمس,And he whispered
الريف،,"the countryside,"
قرر,He decided
يخلقا,They create
مستقبلًا,In the future
الفنون,Arts
والآمال,and hope
أقاما,They stayed
حفل,Party
زفافٍ,wedding
بهيجٍ,festive
عائلاتهما,Their families
الكبيرة,The big one
والصغيرة؛,And the small ones;
تداخلت,Overlapping
مباهج,Joys
الثراء,Wealth
والفقر،,"And poverty,"
وتعالت,and prosperity
أصوات,Voices
والمرح،,and fun
وامتلأت,I'm sorry
القاعة,Hall
نابضة,Pulsating
كألوان,As colors
المنصهر،,"molten,"
الفصحى,Classical
والدارجة,And the vernacular
سيمفونية,Symphony
لغوية,Linguistic
والمكان,and place
الحفل,The party
طياته,Its folds
الحضارة,Civilization
والتراث؛,heritage;
رُويت,It was narrated
والأمهات,and mothers
كفاحهم,Their struggle
كيفية,How
تحويل,transformation
بزوغٍ,emergence
للنور,For the light
وترددت,and traffic
أمثالٌ,Proverbs
شعبية,popularity
عتيقة,Antique
"""العقل",“Mind
زينة،,"decoration,"
والصبر,And patience
تذكّرهم,Remember them
والمشاعر,And emotions
يربط,connects
مشرق,East
ومستقبلٍ,And the future
واعد,promising
وهكذا،,"And so,"
إشراقة,Sunshine
شمس,sun
تهمس,Whisper
بأسرارها,With its secrets
أوراق,papers
الأشجار,Trees
شرفات,Balconies
المنازل,Homes
استمرَّ,I continue
فصولٍ,Chapters
لتغطي,To cover
المتلاطمة,The crashing
سكون,sleep
الشاهقة,High-rise
حروف,Letters
ويرصّانها,And they will
يُرتب,Arrange
خالدة،,"immortal,"
تظلُ,shadow
العربية،,"Arabic,"
بمزيجها,With its mixture
البسيط,Simple
والمعقد،,"complex,"
تُعلمهم,You teach them
واحدًا,One
بسيطًا,Simple
ينبع,It stems
قلبٍ,heart
وروحٍ,and soul
تعرف,to get to know
اليأس,hopelessness
كلمةٍ,word
جملةٍ،,"sentence,"
يستحضران,They conjure
تحدّث,to speak
والكره،,"And hate,"
والاحتياج،,"and need,"
النور,The light
والظلام،,and darkness
والانتقام,And revenge
الحروف,The letters
بإيقاعٍ,In rhythm
متزن،,"Balanced,"
للروح,For the soul
حيويتها,Its vitality
وتُشعل,and ignite
قلوب,hearts
استمعوا,Listen
الفريدة،,"Unique,"
أزمنةٍ,Times
مختلفة,Different
ومواقفٍ,and attitude
تُحصى،,"counted,"
الواقع,reality
والخيال،,and thought
وبين,And between
البساطة,Simplicity
والتعقيد,and complexity
وهكذا,And so on
ملحمةُ,Epic
النبيل,noble
الراقية،,"high end,"
ذاكرتهما,Their memory
خالدة,Immortal
التاريخ,the date
كرمزٍ,As a symbol
للتعلم،,to learn
للنضوج،,to mature
ولعشقٍ,And for love
الكلمات،,"words,"
لينبثق,To pop up
منه,From him
فجرٌ,dawn
يعيد,Repeats
تعريف,identification
آن,it
واحد,one
